%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.57E+18,21335,1.57E+18,base_imu_link,-0.034871688,0.060031098,-0.308638669,0.948642401,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.905139766,-1.000901484,9.734370234,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21336,1.57E+18,base_imu_link,-0.034777301,0.060077716,-0.308389993,0.948723785,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.838106563,-0.953020625,9.686489375,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21337,1.57E+18,base_imu_link,-0.034606914,0.059684451,-0.308924521,0.948580923,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.976769531,-1.020053828,9.667337031,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21338,1.57E+18,base_imu_link,-0.034640957,0.060148586,-0.308803621,0.94858973,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-1.024650391,-0.972172969,9.839325078,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21339,1.57E+18,base_imu_link,-0.034287547,0.060463043,-0.308294988,0.948748009,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.794822266,-1.154120234,9.629032344,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21340,1.57E+18,base_imu_link,-0.035219674,0.060062325,-0.308788841,0.948578697,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.881007813,-1.082107422,9.648184688,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21341,1.57E+18,base_imu_link,-0.035599108,0.06007504,-0.308442334,0.948676457,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.818954219,-0.957617188,9.729390625,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21342,1.57E+18,base_imu_link,-0.035304838,0.059603653,-0.308325199,0.948755261,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.809378047,-1.139564453,9.676913203,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21343,1.57E+18,base_imu_link,-0.036066014,0.059494538,-0.308471552,0.948685904,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.838106563,-1.005498047,9.839325078,0.04,0,0,0,0.04,0,0,0,0.04
1.57E+18,21344,1.57E+18,base_imu_link,-0.035982385,0.059192719,-0.308498708,0.948699129,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,-0.933868281,-0.948041016,9.480410156,0.04,0,0,0,0.04,0,0,0,0.04
